#{"t_start": 1709926584.567526, "env_id": "ALE/BeamRider-v5"}
r,l,t
308.0,1464,1.464741
528.0,1647,2.389967
308.0,1101,3.019363
396.0,1437,3.82971
88.0,954,4.373101
352.0,1163,5.033531
396.0,1545,5.891173
220.0,1228,6.629087
616.0,1572,7.511626
264.0,1083,8.124225
264.0,1096,8.718771
88.0,831,9.184137
308.0,1498,10.019892
308.0,1147,10.643303
88.0,1006,11.192303
220.0,1040,11.755749
176.0,987,12.298358
132.0,1204,12.965584
220.0,1150,13.60502
220.0,1235,14.295235
264.0,1083,14.893672
528.0,1419,15.678635
352.0,1296,16.396425
352.0,1129,17.012912
484.0,1644,17.920999
352.0,1803,18.912519
352.0,1514,19.762291
660.0,2292,21.053228
88.0,1175,21.717063
660.0,2105,22.876704
616.0,1540,23.72986
616.0,1605,27.443774
88.0,1313,30.271368
176.0,1363,33.218027
572.0,2236,38.164724
44.0,1476,41.476288
440.0,1216,44.479633
440.0,1868,49.42805
176.0,1586,53.4722
528.0,2021,58.575394
484.0,1549,62.281803
264.0,1727,66.216788
176.0,1455,69.547501
440.0,1670,73.38549
308.0,1892,77.730501
660.0,2106,82.559332
264.0,1334,85.61908
176.0,1500,89.015707
264.0,1118,91.56587
852.0,2481,97.266633
264.0,1347,100.320907
616.0,1615,104.01945
176.0,1403,107.258342
308.0,945,109.384126
1380.0,2912,116.143075
528.0,1519,119.605768
616.0,2882,126.209399
660.0,2620,132.270248
308.0,1010,134.551334
352.0,1781,138.612251
948.0,2523,144.438787
660.0,1930,148.840004
396.0,1968,153.304031
572.0,1637,157.020194
616.0,2299,162.343278
572.0,1988,174.900552
660.0,2333,180.277973
572.0,1424,183.523808
352.0,1763,187.524547
660.0,2345,192.973564
484.0,1138,195.60271
264.0,1320,198.695001
220.0,1441,202.005615
176.0,1454,205.309994
440.0,1964,209.799823
264.0,1261,212.652651
396.0,1728,216.651819
396.0,1258,219.528295
572.0,1734,223.478615
440.0,1793,227.585252
308.0,1014,229.883741
528.0,2000,234.483683
132.0,1428,237.735196
352.0,1466,241.085537
352.0,1355,244.206648
176.0,1304,247.160904
176.0,1172,249.83337
528.0,2080,254.644192
308.0,1713,258.573601
88.0,1401,261.771424
176.0,1923,266.167226
756.0,2393,271.686419
660.0,2181,276.69469
176.0,1152,279.288342
220.0,1187,282.005985
264.0,951,284.132771
88.0,1222,286.929366
660.0,2661,293.049465
220.0,1062,295.425167
308.0,1494,298.812853
352.0,1370,301.924061
440.0,1395,305.134593
264.0,1253,308.002388
88.0,1627,311.687397
220.0,1220,314.48863
484.0,1735,318.483115
528.0,1453,321.798759
264.0,1594,325.436491
396.0,1632,329.174137
484.0,1902,333.480018
308.0,1490,336.901389
396.0,1611,340.590517
660.0,2155,345.54354
708.0,2071,350.32786
484.0,1499,353.773878
484.0,1675,357.608061
176.0,1398,360.782069
440.0,1745,364.811171
660.0,2364,370.185108
528.0,2078,374.969748
528.0,1971,379.517385
660.0,2319,384.854622
352.0,1438,388.123008
396.0,1511,391.852925
352.0,1746,396.19936
660.0,2020,400.823659
396.0,1648,404.63956
352.0,1355,407.767838
308.0,1329,410.789121
220.0,980,421.277475
572.0,1860,425.550559
440.0,1950,430.117686
440.0,1991,435.172104
264.0,1656,439.330227
660.0,2092,444.178542
708.0,2323,449.517075
308.0,1860,453.80317
308.0,1325,456.834478
132.0,1385,460.006334
308.0,2067,464.732578
176.0,1336,467.772102
396.0,1804,471.903075
308.0,1492,475.284628
528.0,1552,478.891723
528.0,1508,482.335715
660.0,2608,488.349772
660.0,1938,492.77623
440.0,1774,496.87313
352.0,2036,501.554091
660.0,3238,509.10381
572.0,2178,514.202399
484.0,1802,518.365281
528.0,2417,523.969296
660.0,2323,529.343886
440.0,2067,534.119725
440.0,1501,537.563196
396.0,2062,542.340942
660.0,2045,547.074419
396.0,1802,551.210651
660.0,2321,556.538002
616.0,2203,561.653874
264.0,1872,565.973452
572.0,1622,569.719521
708.0,2421,575.334116
88.0,1052,577.744956
572.0,2864,584.380576
264.0,2001,589.019916
308.0,1937,593.48232
308.0,1941,597.960802
528.0,1736,601.905529
264.0,1792,606.004138
528.0,1641,609.760584
660.0,2217,614.905736
440.0,1609,618.586466
660.0,2796,625.066873
708.0,3519,633.305707
264.0,1200,636.010341
220.0,1518,639.517608
484.0,1640,643.310777
660.0,2195,648.376282
708.0,2864,655.017458
440.0,1802,669.47523
352.0,1524,672.991363
616.0,2433,678.530824
396.0,1804,682.660407
396.0,1862,686.932343
484.0,1593,690.572246
528.0,2086,695.376057
572.0,1531,698.901915
352.0,1249,701.705207
352.0,1578,705.289323
264.0,1682,709.177241
528.0,2857,715.803583
396.0,1850,720.026946
440.0,1646,723.811848
804.0,2863,730.445698
264.0,1340,733.54087
660.0,2590,739.494681
132.0,1171,742.122424
660.0,1876,746.453648
528.0,1864,750.736084
264.0,1620,754.427362
660.0,1959,758.924129
308.0,2090,763.695807
660.0,2797,770.139223
528.0,1859,774.411379
176.0,1684,778.317125
440.0,1872,782.615826
264.0,1592,786.294534
616.0,2332,791.663749
616.0,2100,796.487566
660.0,3130,803.793878
352.0,1988,808.373017
264.0,1529,811.841148
484.0,1485,815.220537
616.0,2151,820.168136
352.0,2038,824.822073
528.0,1630,828.535489
572.0,2623,834.642455
484.0,1903,839.009362
440.0,1864,843.330853
396.0,1795,848.173688
440.0,2352,853.651204
660.0,1831,858.265391
220.0,1319,861.34186
660.0,2163,866.395207
440.0,1336,869.522271
220.0,1788,873.718059
484.0,2138,879.090371
220.0,1494,882.483934
660.0,1991,887.091459
264.0,1577,890.708571
572.0,2362,896.143228
484.0,1645,899.91368
